Index,Marine Drive,IIT Bhilai,Airport,NIT Raipur,IIIT Naya Raipur,AIIMS Raipur,Magneto Mall,Ambuja Mall,Shankaracharya College,Jaistambh Chowk,Phool Chowk,Energy Park,Budha Talab,Wonderland Park,Anna Punjabi,Mahadev Ghat,Rebounce,Chingra Waterfall,Mayfair Resort,Chhattisgarh Club
Marine Drive,,,,,,,,,,,,,,,,,,,,
IIT Bhilai,211,,,,,,,,,,,,,,,,,,,
Airport,236,192,,,,,,,,,,,,,,,,,,
NIT Raipur,128,246,377,,,,,,,,,,,,,,,,,
IIIT Naya Raipur,788,726,617,987,,,,,,,,,,,,,,,,
AIIMS Raipur,175,286,417,76,286,,,,,,,,,,,,,,,
Magneto Mall,70,232,185,224,232,287,,,,,,,,,,,,,,
Ambuja Mall,113,323,294,198,1123,257,145,,,,,,,,,,,,,
Shankaracharya College,633,438,780,709,856,843,695,870,,,,,,,,,,,,
Jaistambh Chowk,65,226,267,90,853,150,150,139,579,,,,,,,,,,,
Phool Chowk,70,177,272,80,853,141,155,144,579,39,,,,,,,,,,
Energy Park,140,190,142,271,788,335,152,202,705,169,174,,,,,,,,,
Budha Talab,73,167,275,90,885,149,158,157,570,43,47,183,,,,,,,,
Wonderland Park,232,260,391,131,1097,129,288,327,826,146,140,148,149,,,,,,,
Anna Punjabi,79,160,390,171,706,235,135,175,497,83,88,202,85,226,,,,,,
Mahadev Ghat,207,235,365,106,983,172,262,302,677,120,115,330,123,76,151,,,,,
Rebounce,91,225,177,244,790,308,46,165,667,127,132,204,144,273,118,242,,,,
Chingra Waterfall,1810,1757,1725,1963,1445,2039,1875,2044,1976,1892,1860,1839,1881,2011,1754,1969,1833,,,
Mayfair Resort,734,670,528,931,100,1061,752,1150,700,797,808,697,829,1045,651,927,701,1557,,
Chhattisgarh Club,39,193,240,118,788,168,125,181,621,65,64,204,65,251,72,194,109,1846,671,
